Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
2022-12-31 18:30:00,16577.12,16579.26,16574.62,16575.67,325.26262,2022-12-31 18:34:59.999,5391836.3893041,10984,153.68165,2547600.6115974,0
2022-12-31 18:35:00,16576.16,16579.81,16571.8,16575.31,386.65297,2022-12-31 18:39:59.999,6408913.6867651,11800,198.08803,3283433.3517112,0
2022-12-31 18:40:00,16575.31,16577.71,16573.84,16576.57,228.94175,2022-12-31 18:44:59.999,3794891.7049615,8759,112.88084,1871116.9993216,0
2022-12-31 18:45:00,16577.04,16582.5,16576.08,16578.37,366.73523,2022-12-31 18:49:59.999,6079852.0014904,11553,186.90556,3098614.4564609,0
2022-12-31 18:50:00,16578.37,16582.3,16572.5,16577.02,401.67322,2022-12-31 18:54:59.999,6659184.243274,10894,190.32126,3155308.4977037,0
2022-12-31 18:55:00,16577.02,16578.39,16574.51,16577.79,214.72769,2022-12-31 18:59:59.999,3559447.0404201,7916,104.43798,1731252.1880291,0
2022-12-31 19:00:00,16577.78,16579.56,16571.65,16572.79,316.8403,2022-12-31 19:04:59.999,5252204.3186956,7574,160.12124,2654294.5080346,0
2022-12-31 19:05:00,16572.79,16574.96,16571.0,16572.6,322.95372,2022-12-31 19:09:59.999,5352242.3322073,7701,200.47528,3322460.189328,0
2022-12-31 19:10:00,16573.0,16576.42,16571.88,16575.99,192.04151,2022-12-31 19:14:59.999,3183014.0618442,6965,104.39171,1730261.6762696,0
2022-12-31 19:15:00,16576.42,16580.39,16574.05,16575.1,272.10909,2022-12-31 19:19:59.999,4510903.7095833,8664,136.13207,2256769.8985267,0
2022-12-31 19:20:00,16574.72,16576.42,16567.22,16567.77,291.88136,2022-12-31 19:24:59.999,4836933.1062334,7818,142.65101,2364000.6478917,0
2022-12-31 19:25:00,16568.18,16575.32,16566.37,16572.17,341.62234,2022-12-31 19:29:59.999,5660927.4921259,9701,186.85257,3096304.7426494,0
2022-12-31 19:30:00,16571.72,16581.87,16571.23,16577.77,326.9159,2022-12-31 19:34:59.999,5418747.1290543,10905,169.15876,2803912.0178792,0
2022-12-31 19:35:00,16577.77,16588.09,16577.77,16587.87,532.74935,2022-12-31 19:39:59.999,8834884.787502,13857,297.85514,4939550.4085814,0
2022-12-31 19:40:00,16587.86,16587.86,16575.17,16577.14,345.08952,2022-12-31 19:44:59.999,5722417.9193957,9905,144.29683,2392788.5997451,0
2022-12-31 19:45:00,16576.66,16590.06,16576.04,16585.15,414.63851,2022-12-31 19:49:59.999,6875641.4352091,12273,221.89601,3679595.0589114,0
2022-12-31 19:50:00,16585.48,16586.74,16580.0,16580.44,279.93181,2022-12-31 19:54:59.999,4642113.5886613,9403,126.04002,2090167.2890042,0
2022-12-31 19:55:00,16580.81,16580.89,16565.1,16570.14,407.66018,2022-12-31 19:59:59.999,6756017.1081818,11821,178.05093,2950767.8075565,0
2022-12-31 20:00:00,16570.14,16572.76,16567.6,16571.19,236.45355,2022-12-31 20:04:59.999,3918147.4124951,8916,124.84658,2068794.4079042,0
2022-12-31 20:05:00,16571.18,16571.78,16567.61,16568.86,185.94564,2022-12-31 20:09:59.999,3081038.2889646,7225,95.82791,1587837.2787187,0
2022-12-31 20:10:00,16568.86,16571.44,16567.16,16569.76,181.6551,2022-12-31 20:14:59.999,3009922.2946244,6850,85.25572,1412651.7609573,0
2022-12-31 20:15:00,16569.76,16574.97,16569.64,16573.13,252.85943,2022-12-31 20:19:59.999,4190350.4385488,7673,142.67098,2364337.4958143,0
2022-12-31 20:20:00,16573.13,16574.27,16569.53,16573.57,239.5777,2022-12-31 20:24:59.999,3970334.5508464,7874,114.75949,1901835.0175447,0
2022-12-31 20:25:00,16573.76,16573.76,16567.58,16570.71,193.9004,2022-12-31 20:29:59.999,3213071.5862006,6665,85.52248,1417176.9119865,0
2022-12-31 20:30:00,16570.99,16573.62,16569.74,16571.31,158.47706,2022-12-31 20:34:59.999,2626249.3308206,6598,79.42303,1316196.4408767,0
2022-12-31 20:35:00,16571.57,16571.74,16565.65,16566.45,295.52887,2022-12-31 20:39:59.999,4896240.0023972,9584,143.65665,2380078.4718374,0
2022-12-31 20:40:00,16566.45,16571.95,16564.09,16570.46,264.07482,2022-12-31 20:44:59.999,4374866.9058787,8297,151.35367,2507477.0442002,0
2022-12-31 20:45:00,16570.45,16572.36,16569.05,16571.64,168.69046,2022-12-31 20:49:59.999,2795348.8304278,6771,73.99707,1226205.5618523,0
2022-12-31 20:50:00,16571.64,16573.56,16565.0,16566.99,251.24299,2022-12-31 20:54:59.999,4163114.8188641,7469,113.32827,1877880.376758,0
2022-12-31 20:55:00,16566.99,16569.3,16565.84,16568.6,193.73753,2022-12-31 20:59:59.999,3209802.758916,6783,100.73926,1669041.7174828,0
2022-12-31 21:00:00,16568.19,16571.64,16566.34,16567.65,182.81328,2022-12-31 21:04:59.999,3029075.7000199,6243,88.51103,1466565.563556,0
2022-12-31 21:05:00,16567.65,16569.35,16564.43,16566.01,284.93898,2022-12-31 21:09:59.999,4720384.3316051,7373,150.96527,2500952.5750268,0
2022-12-31 21:10:00,16565.65,16568.96,16564.52,16566.31,329.63196,2022-12-31 21:14:59.999,5460803.8940788,10290,162.04774,2684582.8925189,0
2022-12-31 21:15:00,16566.39,16570.04,16564.11,16566.14,302.32349,2022-12-31 21:19:59.999,5008500.1443452,9169,143.88283,2383674.8595045,0
2022-12-31 21:20:00,16566.14,16566.87,16558.77,16559.88,327.54457,2022-12-31 21:24:59.999,5424863.8186326,9608,146.29486,2422980.2562,0
2022-12-31 21:25:00,16559.88,16565.41,16557.46,16563.84,314.75679,2022-12-31 21:29:59.999,5212810.7291908,9831,155.46896,2574851.7752822,0
2022-12-31 21:30:00,16563.57,16564.19,16557.31,16557.92,255.84227,2022-12-31 21:34:59.999,4236991.2017958,8001,120.13075,1989500.1050983,0
2022-12-31 21:35:00,16558.4,16568.34,16554.15,16560.07,465.78363,2022-12-31 21:39:59.999,7713652.7959358,10904,244.93724,4056534.4817004,0
2022-12-31 21:40:00,16560.07,16561.51,16558.46,16560.53,105.29194,2022-12-31 21:44:59.999,1743610.0887877,4725,55.69056,922233.4906161,0
2022-12-31 21:45:00,16559.8,16561.19,16553.98,16556.15,308.19338,2022-12-31 21:49:59.999,5102786.2169679,8422,134.49722,2226897.3217293,0
2022-12-31 21:50:00,16556.62,16557.39,16544.12,16549.59,499.67581,2022-12-31 21:54:59.999,8269995.7817671,12010,215.66966,3569543.0430558,0
2022-12-31 21:55:00,16549.19,16552.55,16546.68,16548.28,241.97779,2022-12-31 21:59:59.999,4004553.3768102,8489,128.31726,2123579.8524841,0
2022-12-31 22:00:00,16548.28,16548.46,16542.16,16543.94,295.68359,2022-12-31 22:04:59.999,4892089.4637399,9132,141.85499,2347022.9655983,0
2022-12-31 22:05:00,16543.94,16556.36,16542.02,16556.18,278.39298,2022-12-31 22:09:59.999,4606647.944006,10166,154.37915,2554613.8360755,0
2022-12-31 22:10:00,16556.18,16567.49,16555.75,16565.38,475.75881,2022-12-31 22:14:59.999,7880005.6910352,11783,215.16571,3563763.0934122,0
2022-12-31 22:15:00,16564.95,16565.62,16506.36,16531.62,1329.8118,2022-12-31 22:19:59.999,21983721.3414805,21502,603.51222,9976437.6668643,0
2022-12-31 22:20:00,16531.61,16539.15,16527.81,16531.14,341.02412,2022-12-31 22:24:59.999,5638158.9950844,10614,169.23342,2797988.9596346,0
2022-12-31 22:25:00,16531.72,16552.64,16531.11,16544.98,386.76261,2022-12-31 22:29:59.999,6398827.4034112,9211,206.24024,3412082.4801052,0
2022-12-31 22:30:00,16544.78,16553.3,16540.25,16544.83,415.51923,2022-12-31 22:34:59.999,6875509.8572598,9160,173.46098,2870204.7894542,0
2022-12-31 22:35:00,16544.41,16549.38,16524.64,16532.29,500.74945,2022-12-31 22:39:59.999,8279628.1996575,11743,252.86861,4181018.8502009,0
2022-12-31 22:40:00,16532.6,16539.0,16517.76,16538.37,468.08962,2022-12-31 22:44:59.999,7736450.8284662,11447,216.44453,3577345.070597,0
2022-12-31 22:45:00,16538.37,16538.84,16516.0,16518.53,329.34955,2022-12-31 22:49:59.999,5442964.829667,9143,150.65846,2489824.1300029,0
2022-12-31 22:50:00,16518.04,16533.42,16470.0,16518.22,1433.27713,2022-12-31 22:54:59.999,23653992.7940572,24882,620.20693,10234793.3162052,0
2022-12-31 22:55:00,16517.57,16521.36,16509.76,16520.81,440.71736,2022-12-31 22:59:59.999,7278930.3093701,15150,215.93289,3566432.6116967,0
2022-12-31 23:00:00,16520.28,16524.91,16500.24,16506.14,767.72112,2022-12-31 23:04:59.999,12676570.1442636,18308,365.21519,6030419.4621504,0
2022-12-31 23:05:00,16506.14,16514.99,16490.78,16495.24,558.92871,2022-12-31 23:09:59.999,9224703.6144064,17617,269.22628,4443435.3008915,0
2022-12-31 23:10:00,16496.01,16503.97,16487.74,16502.67,555.3314,2022-12-31 23:14:59.999,9160631.1995822,16784,281.91533,4650508.1244041,0
2022-12-31 23:15:00,16502.67,16526.51,16500.73,16523.86,618.0961,2022-12-31 23:19:59.999,10208775.1417116,17905,327.51573,5409345.8662597,0
2022-12-31 23:20:00,16523.86,16529.54,16520.91,16525.92,302.37991,2022-12-31 23:24:59.999,4996934.5121145,10909,145.43781,2403447.6721181,0
2022-12-31 23:25:00,16526.54,16527.01,16517.51,16524.64,262.99128,2022-12-31 23:29:59.999,4345535.1767073,9582,118.23198,1953613.3785853,0
2022-12-31 23:30:00,16524.65,16540.59,16520.44,16538.17,429.55241,2022-12-31 23:34:59.999,7100650.984937,12374,227.63372,3762971.3675378,0
2022-12-31 23:35:00,16538.17,16551.24,16536.84,16545.68,501.06148,2022-12-31 23:39:59.999,8289912.8288546,13394,256.26762,4239991.5350151,0
2022-12-31 23:40:00,16545.68,16550.26,16543.45,16546.13,277.70571,2022-12-31 23:44:59.999,4595107.7033136,9235,126.01727,2085175.3591827,0
2022-12-31 23:45:00,16546.14,16550.55,16536.62,16539.05,292.41232,2022-12-31 23:49:59.999,4837654.6402682,9726,134.15073,2219442.7095303,0
2022-12-31 23:50:00,16538.39,16541.26,16534.92,16540.42,180.18579,2022-12-31 23:54:59.999,2979927.1073275,7820,93.57703,1547613.313404,0
2022-12-31 23:55:00,16540.42,16544.47,16535.05,16542.4,227.06684,2022-12-31 23:59:59.999,3755424.9273356,8978,105.83466,1750411.6458267,0
2023-01-01 00:00:00,16541.77,16544.76,16527.51,16535.38,486.60903,2023-01-01 00:04:59.999,8046638.3814473,14258,220.13975,3640277.8851614,0
2023-01-01 00:05:00,16534.91,16540.43,16522.55,16526.67,391.19043,2023-01-01 00:09:59.999,6467462.4343251,11944,189.61441,3134879.217355,0
2023-01-01 00:10:00,16526.67,16530.87,16520.0,16520.69,294.73889,2023-01-01 00:14:59.999,4870445.5373718,11282,143.59637,2372892.3997332,0
2023-01-01 00:15:00,16521.26,16537.73,16517.72,16534.94,481.18777,2023-01-01 00:19:59.999,7951477.5874923,14060,260.25307,4300613.8684902,0
2023-01-01 00:20:00,16534.94,16540.66,16532.33,16535.54,309.53189,2023-01-01 00:24:59.999,5118776.8481287,10050,162.28132,2683690.8918042,0
2023-01-01 00:25:00,16535.54,16545.7,16534.62,16544.19,311.90922,2023-01-01 00:29:59.999,5159562.5082654,9418,165.82508,2743070.158962,0
2023-01-01 00:30:00,16544.19,16544.61,16522.03,16527.83,394.57703,2023-01-01 00:34:59.999,6524077.1131144,13172,179.89403,2974446.637117,0
2023-01-01 00:35:00,16527.27,16530.09,16508.39,16524.04,612.13471,2023-01-01 00:39:59.999,10112239.2029008,21043,312.38768,5160637.1879778,0
2023-01-01 00:40:00,16524.83,16525.25,16512.7,16515.43,358.94459,2023-01-01 00:44:59.999,5928976.0125178,14303,172.18068,2844048.2852487,0
2023-01-01 00:45:00,16515.91,16535.66,16515.43,16529.16,357.27214,2023-01-01 00:49:59.999,5904156.1794837,13517,193.37558,3195614.4094515,0
